,Tweet,User,retweet_counts,Like_count,Verfication
0,"This is only one of the borders. We aren't scared.  

#BJPGoonsAttackingFarmers
 #FarmersProtest https://t.co/2S3mnkkVaq",1192738126852177920,0,28893,False
1,"Nothing has changed for Sikhs in India since 1984   !!!!!!

#FarmersProtest https://t.co/83jLygEg2H",782817807889080320,0,807,False
2,"@Mani_KaurRai We will not give up..
Every time you knock us down..
We stand back up again!
#FarmersProtest
#दिल्ली_वालो_सिंघु_पहुँचो
#BJPGoonsAttackingFarmers",319642967,0,27201,False
3,"Farmers Kumbha Mela starts now. Be aware govt.
Donate black farms bill in dustbin to clean all paap.
#RakeshTikait #gazipurborder #GodiMedia #FarmerTikaitVsModiDakait #GodiMediaHataoDeshBachao
#FarmersProtest #KisanAandolan #FarmersProstests @INCIndia @RahulGandhi @priyankagandhi https://t.co/wXPzvHlDRU",1260203348076007424,0,14647,False
4,"#farmersprotest
Leader of Rakesh tikait ji",1255780695919788033,0,31,False
5,"@kamaluddinINC @PONEDO_AANKH @LambaAlka @INCIndia @INCMaharashtra @abhijitsapkal1 Farmers Exposed😲

New video on Farmer's Protest

https://t.co/zeLjRLkTAB

#IndianRepublicBlackDay #RepublicDay2021 #India #FarmersProtest #FarmBills2020 #FarmersTractorRally",1209944991369351168,0,2781,False
6,"Aap chronology samjhiye 

Security lapse at Red Fort ,Singhu Border 
#DelhiBlast at Israel embassy

Complete failure of law &amp; order.
Where is Home minister.
Godi media Grow a SPINE !!

#FarmersProtest #RakeshTakaitVsModiDakait",2826529099,1,74201,False
7,Nothing Has Changed Since 1984 For Sikhs in India !!!!!#FarmersProtest #1984SikhGenocideRevisited https://t.co/gOpa61Gchn,1333391400482840578,0,12,False
8,"Wouldn't it be good if the our brothers in the military joined us at the border? 
Then @BJP4India can go protect the borders with their troll army

#BJPGoonsAttackingFarmers
 #FarmersProtest https://t.co/MDK9FQdcly",1192738126852177920,0,28893,False
9,"@samavritti @MalabarHornbill That's too late now.... All the 4 Pillars of Democracy are filled with Napunsak log.....😠😠😠
#FarmersProtest
#दिल्ली_वालो_सिंघु_पहुँचो #BJPGoonsAttackingFarmers",49538291,0,65954,False
10,"@sonaliranade @MonaAmbegaonkar Never count on media , 
It's sold on never return basis .
#FarmersProtest 
#IStandWithFarmers 
#isupportfarmersprotest 
@Kisanektamorcha 
@punjabiFarmerz",888078932,0,196746,False
11,"We will not give up..
Every time you knock us down..
We stand back up again!
#FarmersProtest
#दिल्ली_वालो_सिंघु_पहुँचो
#BJPGoonsAttackingFarmers",1059846245471133696,2,8795,False
12,"👉Local media reporting locals were NOT involved in skirmishes with the farmers in their tents. 

👉Piles of stones were unloaded near the protest sites incase the violence happens with the farmers.

👉 Locals = BJP supporters.

#FarmersProtest
#DelhiPolice https://t.co/os8Fcdqc4q",1343757728393666561,0,346,False
13,"Farmers are coming for their Kumbha Mela at delhi borders to support his Saint Tikait ji.
#RakeshTikait #gazipurborder #GodiMedia #FarmerTikaitVsModiDakait #GodiMediaHataoDeshBachao
#FarmersProtest #KisanAandolan #FarmersProstests @INCIndia @RahulGandhi @priyankagandhi @nsui @IYC https://t.co/3SswRlpfhH",1260203348076007424,0,14647,False
14,"Rahul Gandhi said the farmers' movement cannot be suppressed and would only spread to other states if not resolved at the earliest.
Read: https://t.co/tLC2Lxrdki
#FarmersProtest #ITCard | @ashokasinghal2 https://t.co/ndBlaDpmb5",19897138,5,4439,True
15,"The aerial view of Kisaan Mahapanchayat meeting today at GIC ground , Muzzafarnagar.

The message to Godi &amp; Govt is clear :#किसान_हूं_सावरकर_नहीं #FarmersProtest https://t.co/RowLDnkgeM",933242548335796227,0,217092,False
16,"#MegaDebate coming your way in #TheDebate at #8PM with @brajeshlive Sir only on @bstvlive .

#FarmersProtest https://t.co/P1jS22uS26",4853124526,0,10098,False
17,"#SinghuBorder: Why did the #farmersprotest take a political turn? | Debate

https://t.co/lBmqLBjWYH",39240673,1,130,True
18,Massive rally by angry #Farmers. #Modiji should #ModiMustResign now.#farmersrprotest #FarmersProstest #FarmersProtest #Singhu https://t.co/sch8U5nMRW,91771806,0,16052,False
19,"#BJPGoonsAttackingFarmers 
#farmersprotest 
#vulgarHMAmitShah

D safety &amp; security of our protesting farmers is d responsibility of central Govt &amp; it must ensure no untoward incident happens at protest venues.
SC 2 strongly instruct d govt in this regard &amp; hold it accountable.",919275218555809794,0,2969,False
